game_id,rated,treat_type,chat_type,gametime_seconds,status,maia_color,maia_name,maia_avg_move_time,opp_avg_move_time,opp_avg_move_time_3+,opp_avg_move_time_3only,num_moves,opp_name_hashed,opp_name,winner,maia_rating,maia_acc,maia_blunders,maia_mistakes,maia_acpl,maia_inacc,opp_rating,opp_acc,opp_blunders,opp_mistakes,opp_acpl,opp_inacc,respond,game_chats
SkbscVPn,True,1,Chatty,577.565,mate,white,bcu_555,5.82,4.21,4.1,3.84,111,9080954601835868,Fdqw,opp,1496,79,1,1,36,7,1532,91,1,2,18,2,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""uh oh..."",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""},{""text"":""things arent looking good"",""user"":""bcu_555""}]
"
Smgp42tN,True,0,Control,617.341,draw,black,bcu_555,5.96,4.77,4.83,9.52,113,-8598253539785981093,kosar_123,draw,1505,86,2,0,56,5,1482,80,2,0,71,9,False,"[]
"
T0gKGB7a,True,0,Control,133.234,resign,white,bcu_555,5.04,5.63,3.14,2.8,25,-5868367891217590906,petrson_dzen,maia,1493,94,0,0,14,0,1501,74,1,1,67,3,False,"[]
"
TtGvhlwO,True,1,Placebo,174.892,resign,black,bcu_555,6.53,4.4,4.84,2.32,30,4688241677547806604,abdo_reda_usf,maia,1659,82,1,0,31,1,1633,62,2,0,71,0,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""}]
"
Uai4bt7O,True,0,Control,411.654,mate,black,bcu_555,4.84,9.51,9.92,2.16,56,-1200686772346795188,Philipp_Fed,opp,1504,82,3,0,44,0,1500,96,0,0,12,0,False,"[]
"
uBfGgDz6,True,1,Placebo,884.8,mate,black,bcu_555,5.65,8.93,9.21,4.4,120,3195024806746049332,rjb246,opp,1495,60,9,2,91,4,1511,61,6,5,76,7,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""},{""text"":""my cat's name is alex"",""user"":""bcu_555""}]
"
vIHVxJV2,True,1,Placebo,1177.546,outoftime,white,bcu_555,5.26,4.89,4.95,4.8,228,-3199339907217996721,Blunderererer,opp,1553,66,8,2,65,7,1573,67,6,4,58,8,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""},{""text"":""my cat's name is alex"",""user"":""bcu_555""}]
"
vMa6ur6t,True,1,Placebo,182.016,mate,black,bcu_555,4.86,3.35,3.39,4.8,42,-7660454964074636047,AttackOfTheQueen,opp,1469,47,1,0,90,1,1456,82,1,1,43,0,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""}]
"
vOot8NG2,True,0,Control,270.048,mate,black,bcu_555,5.89,5.36,5.69,3.28,47,648377636062174413,Sultwuzhere,maia,1498,60,6,2,134,4,1377,42,6,1,170,5,False,"[]
"
w0qPBujo,True,1,Chatty,392.526,mate,black,bcu_555,5.38,8.24,8.73,14.24,56,4687253485296469285,GULUS_1956,opp,1504,75,2,1,62,1,1469,90,1,0,28,2,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""uh oh..."",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""},{""text"":""things arent looking good"",""user"":""bcu_555""}]
"
